Name,Amount Needed,City,Region
Aluminium,25,"Ust-Nero, RU",Russia East
Aluminium,25,Total Amount,
Apple,25,"Murun, MN",Asia North
Apple,25,"Whitehorse, YT",Canada West
Apple,25,"Yorkton, SK",Canada Center
Apple,25,"Santa Ana, CR",Central America
Apple,25,"Rosarito, MX",Mexico
Apple,50,"Olympia, WA",USA West
Apple,50,"Topeka, KS",USA South
Apple,150,"Sochi, RU",Russia West
Apple,350,"Morelia, MX",Mexico
Apple,725,Total Amount,
Asparagus,150,"Novokuznetsk, RU",Russia East
Asparagus,150,Total Amount,
Bamboo,350,"Bayingol, CN",Asia North
Bamboo,350,Total Amount,
Banana,25,"San Salvador, SV",Central America
Banana,50,Guadalajara,Mexico
Banana,50,Los Mochis,Mexico
Banana,150,"Ponce, PR",Caribbean
Banana,150,Mexicali,Mexico
Banana,425,Total Amount,
BBQ Rib,50,"Columbia, SC",USA South
BBQ Rib,150,"Kingston, ON",Canada East
BBQ Rib,350,Tepic,Mexico
BBQ Rib,350,"San Juan, PR",Caribbean
BBQ Rib,350,"Guilin, CN",Asia North
BBQ Rib,"1,000","New York, NY",USA East
BBQ Rib,"2,250",Total Amount,
Bonbon,25,"Kiev, UA",Europe North
Bonbon,150,"Valleta, MT",Europe South
Bonbon,150,"Vienna, AT",Europe East
Bonbon,325,Total Amount,
Candle,25,Taxco,Mexico
Candle,50,"Helsinki, FI",Europe North
Candle,50,"Santiago De Los Caballeros, CD",Caribbean
Candle,50,"Tirana, AL",Europe South
Candle,150,"Nalchik, RU",Russia West
Candle,"1,000","Barcelona, ES",Europe South
Candle,"1,000","Copenhagen, DK",Europe North
Candle,"2,325",Total Amount,
Carrot,50,"Billings, MT",USA Center
Carrot,50,"Cheyenne, WY",USA Center
Carrot,50,"Belfast, UK",Europe West
Carrot,150,Xalapa,Mexico
Carrot,350,"Voronezh, RU",Russia West
Carrot,350,"Chicago, IL",USA Center
Carrot,"1,000","Osaka, JP",Asia East
Carrot,"2,000",Total Amount,
Casino Chip,25,"Skopje, MK",Europe South
Casino Chip,50,"Bilbao, ES",Europe South
Casino Chip,150,"Tegucigalpa, HN",Central America
Casino Chip,350,"Madrid, ES",Europe South
Casino Chip,"1,000","Monaco, FR",Europe South
Casino Chip,"1,575",Total Amount,
Cauliflower,150,"Sakhalin, RU",Russia East
Cauliflower,"1,000","Shenzhen, CN",Asia North
Cauliflower,"1,150",Total Amount,
Chicken,50,"Fredericton, NB",Canada East
Chicken,50,"Elista, RU",Russia West
Chicken,50,"Yuzhno-Sakhalinsk, RU",Russia East
Chicken,150,"Denver, CO",USA West
Chicken,150,"Oklahoma City, OK",USA South
Chicken,150,"Brussels, BE",Europe West
Chicken,350,"Kowloon, HK",Asia North
Chicken,"1,000","Hangzhou, CN",Asia North
Chicken,"1,000","Philadelphia, PA",USA East
Chicken,"1,000",Monterrey,Mexico
Chicken,"3,950",Total Amount,
Chinese Spring Water,"1,000","Tokyo, JP",Asia East
Chinese Spring Water,"1,000",Total Amount,
Chlorine,150,"Ulan-Ude, RU",Russia East
Chlorine,150,Total Amount,
Chopsticks,350,"Busan, SK",Asia East
Chopsticks,350,"Pyongyang, NK",Asia East
Chopsticks,"1,000","Chongqing, CN",Asia North
Chopsticks,"1,700",Total Amount,
Chunk of Amber ,50,"Cherkessk, RU",Russia West
Chunk of Amber ,50,Total Amount,
Coal,25,"Zyryanka, RU",Russia East
Coal,150,"Nukus, UZ",Asia Central
Coal,150,"Kamchatka Krai, RU",Russia East
Coal,"1,000","Shijiazhuang, CN",Asia North
Coal,"1,325",Total Amount,
Coffee Beans,25,"Belmopan, BZ",Central America
Coffee Beans,150,Villahermosa,Mexico
Coffee Beans,150,"Pavlodar, KZ",Asia Central
Coffee Beans,350,Merida,Mexico
Coffee Beans,350,"Changchun, CN",Asia North
Coffee Beans,350,"Fukuoka, JP",Asia East
Coffee Beans,"1,000",Mexico City,Mexico
Coffee Beans,"1,000",Tijuana,Mexico
Coffee Beans,"3,375",Total Amount,
Cooking Oil,350,"Rostov-on-Don, RU",Russia West
Cooking Oil,"1,000","Saint Petersburg, RU",Russia West
Cooking Oil,"1,350",Total Amount,
Copper,50,"Bismarck, ND",USA Center
Copper,50,"El Paso, TX",USA West
Copper,150,"Miami, FL",USA South
Copper,150,Ciudad Victoria,Mexico
Copper,150,"Yoshkar-Ola, RU",Russia West
Copper,350,Hermosillo,Mexico
Copper,350,"St. John's, NL",Canada East
Copper,"1,250",Total Amount,
Copper Cable,50,"Norilsk, RU",Russia East
Copper Cable,50,Total Amount,
Corn,25,"Dover, DE",USA East
Corn,25,"Montpelier, VT",USA East
Corn,50,"Hazelton, BC",Canada West
Corn,50,"Atyrau, KZ",Asia Central
Corn,350,"Krasnoyarsk Krai, RU",Russia East
Corn,350,"Detroit, MI",USA East
Corn,350,"Hulun Buir, CN",Asia North
Corn,"1,000","New Orleans, LA",USA South
Corn,"2,200",Total Amount,
Cotton,350,"Ashgabat, TM",Asia Central
Cotton,350,"Zhengzhou, CN",Asia North
Cotton,700,Total Amount,
Cow,25,"Kennewick, WA",USA West
Cow,25,"Egvekinot, RU",Russia East
Cow,150,"Pittsburgh, PA",USA East
Cow,150,"Budapest, HU",Europe East
Cow,150,Monclova,Mexico
Cow,350,"Nashville, TN",USA South
Cow,850,Total Amount,
Daikon,350,"Nanjing, CN",Asia North
Daikon,350,Total Amount,
Diesel Fuel,50,"Novy Urengoy, RU",Russia East
Diesel Fuel,150,"Bishkek, KG",Asia Central
Diesel Fuel,350,"Taichung City, TW",Asia North
Diesel Fuel,350,"Ufa, RU",Russia West
Diesel Fuel,900,Total Amount,
Egg,150,"Lhasa, CN",Asia North
Egg,150,Total Amount,
Firework,25,"The Pas, MB",Canada Center
Firework,150,"Atlanta, GA",USA South
Firework,350,"Calgary, AB",Canada West
Firework,350,"Kingston, JM",Caribbean
Firework,"1,000","Montreal, QC",Canada East
Firework,"1,875",Total Amount,
Gasoline Tank,150,"Shymkent, KZ",Asia Central
Gasoline Tank,150,"Nizhnevartovsk, RU",Russia East
Gasoline Tank,350,"Okinawa, JP",Asia East
Gasoline Tank,650,Total Amount,
Grape,25,"Neryungri, RU",Russia East
Grape,25,Total Amount,
Green Tea,"1,000","Shanghai, CN",Asia North
Green Tea,"1,000",Total Amount,
Gzhel,150,"Vladimir, RU",Russia West
Gzhel,150,Total Amount,
Hockey Stick,25,"Galesburg, IL",USA Center
Hockey Stick,50,"Saint Paul, MN",USA Center
Hockey Stick,150,"Zurich, CH",Europe West
Hockey Stick,150,"Komsomolsk-on-Amur, RU",Russia East
Hockey Stick,350,Tuxtla Gutierrez,Mexico
Hockey Stick,"1,000","Guatemala, BZ",Central America
Hockey Stick,"1,725",Total Amount,
Holy Water,25,"Rome, IT",Europe South
Holy Water,25,"Santiago, PA",Central America
Holy Water,25,"Tallinn, EE",Europe North
Holy Water,50,"Cluj-Napoca, RO",Europe East
Holy Water,50,Chetunal,Mexico
Holy Water,175,Total Amount,
Honey,25,"Des Moines, IA",USA Center
Honey,25,"Harrisburg, PA",USA East
Honey,25,"Rapid City, SD",USA Center
Honey,25,"Riga, LV",Europe North
Honey,25,"Santo Domingo, CD",Caribbean
Honey,150,"Cheboksary, RU",Russia West
Honey,150,"Izhevsk, RU",Russia West
Honey,350,"Foshan, CN",Asia North
Honey,775,Total Amount,
